"""","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_前年(同月･期)比","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_和　歌　山　県_前年(同月･期)比","倒　　　　　　産　　　　　　件　　　　　　数_全　　　国_件　　数","倒　　　　　　産　　　　　　件　　　　　　数_全　　　国_前年(同月･期)比"
"平成17年","111.0","19.354838709677423","3502.0","2.8","12998.0","-5.0"
"平成18年","82.0","-26.126126126126124","3624.0","3.4837235865219753","13246.0","1.9079858439760073"
"平成19年","135.0","64.6341463414634","3750.0","3.4768211920529666","14091.0","6.379284312245218"
"平成20年","160.0","18.518518518518505","3926.0","4.693333333333328","15646.0","11.035412674756941"
"平成21年","166.0","3.750000000000014","4186.0","6.622516556291373","15480.0","-1.0609740508756147"
"平成22年","148.0","-10.843373493975903","3706.0","-11.46679407548973","13321.0","-13.947028423772608"
"平成23年","142.0","-4.054054054054063","3456.0","-6.7458175930922835","12734.0","-4.406576082876654"
"平成24年","112.0","-21.126760563380287","3075.0","-11.024305555555557","12124.0","-4.790325113868391"
"平成25年","94.0","-16.07142857142857","2694.0","-12.390243902439025","10855.0","-10.46684262619597"
"平成26年","95.0","1.0638297872340559","2490.0","-7.572383073496653","9731.0","-10.354675264854905"
"平成19年1-3月","44.0","76.0","920.0","-0.1085776330075987","3440.0","2.7479091995220983"
"平成19年4-6月","28.0","154.54545454545453","980.0","7.3384446878422835","3616.0","10.210301737275216"
"平成19年7-9月","18.0","0.0","898.0","0.5599104143337001","3465.0","6.615384615384627"
"平成19年10-12月","45.0","60.71428571428572","952.0","6.131549609810477","3570.0","6.029106029106018"
"平成20年1-3月","48.0","9.09090909090908","1014.0","10.217391304347828","3715.0","7.994186046511629"
"平成20年4-6月","46.0","64.28571428571428","930.0","-5.102040816326522","3829.0","5.89048672566372"
"平成20年7-9月","26.0","44.44444444444443","974.0","8.463251670378625","4034.0","16.42135642135642"
"平成20年10-12月","40.0","-11.111111111111114","1008.0","5.882352941176478","4068.0","13.949579831932766"
"平成21年1-3月","42.0","-12.5","1081.0","6.607495069033533","4215.0","13.45895020188425"
